CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Amalfi Coast,Italy,27.13,120.00,18.00,18.00,6.00,6.00,13.00,4.00,6.00,6.00,13.00,13.00,71.00,42.00,71.64,111.00,58.00%,17.00
Amsterdam, Netherlands,15.75,27.00,12.00,24.00,5.00,7.00,14.00,3.00,4.00,8.00,13.00,13.00,48.00,23.00,21.31,21.00,48.00%,27.00
Anguilla,Anguilla,9.25,5.00,30.00,7.00,9.00,3.00,13.00,4.00,11.00,1.00,12.00,12.00,65.00,36.00,8.33,1.00,65.00%,10.00
Ankara,Turkey,22.00,91.00,16.00,20.00,8.00,4.00,13.00,4.00,6.00,6.00,12.00,12.00,47.00,22.00,59.80,90.00,57.00%,18.00
Antigua,Antigua and Barbuda,9.13,4.00,29.00,8.00,8.00,4.00,13.00,4.00,11.00,1.00,11.00,11.00,57.00,30.00,8.33,1.00,61.00%,14.00
Athens,Greece,18.13,53.00,19.00,17.00,8.00,4.00,13.00,4.00,6.00,6.00,7.00,7.00,31.00,12.00,54.33,85.00,65.00%,10.00
Auckland,New Zealand,18.38,58.00,20.00,16.00,5.00,7.00,11.00,6.00,5.00,7.00,14.00,14.00,102.00,56.00,22.63,28.00,62.00%,13.00
Austin,USA,18.38,57.00,26.00,11.00,7.00,5.00,13.00,4.00,9.00,3.00,7.00,7.00,70.00,41.00,37.40,64.00,63.00%,12.00
Bali,Indonesia,30.88,137.00,31.00,6.00,10.00,2.00,12.00,5.00,11.00,1.00,11.00,11.00,117.00,61.00,67.50,107.00,11.00%,54.00
Bangkok,Thailand,27.38,123.00,35.00,2.00,8.00,4.00,12.00,5.00,11.00,1.00,6.00,6.00,68.00,39.00,74.27,114.00,24.00%,48.00
Barcelona,Spain,22.50,93.00,17.00,19.00,7.00,5.00,13.00,4.00,6.00,6.00,11.00,11.00,50.00,25.00,61.15,93.00,58.00%,17.00
Beijing,China,20.50,75.00,20.00,16.00,8.00,4.00,13.00,4.00,6.00,6.00,5.00,5.00,18.00,6.00,73.03,112.00,64.00%,11.00
Berlin,Germany,20.25,72.00,13.00,23.00,5.00,7.00,14.00,3.00,4.00,8.00,13.00,13.00,41.00,18.00,35.90,61.00,46.00%,29.00
