CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Crete,Greece,4.63,1.00,28.00,11.00,11.00,3.00,13.00,5.00,10.00,2.00,0.00,1.00,1.00,2.00,15.79,12.00,99.00%,1.00
Zanzibar,Tanzania,8.88,2.00,29.00,10.00,8.00,6.00,12.00,6.00,11.00,1.00,8.00,9.00,48.00,21.00,8.33,1.00,77.00%,17.00
Malaga ,Spain,9.50,3.00,30.00,9.00,11.00,3.00,14.00,4.00,9.00,3.00,3.00,4.00,6.00,7.00,25.74,37.00,86.00%,9.00
Darwin,Australia,9.75,4.00,31.00,8.00,10.00,4.00,12.00,6.00,11.00,1.00,4.00,5.00,3.00,4.00,15.57,11.00,54.00%,39.00
Dubrovnik,Croatia,9.88,5.00,28.00,11.00,9.00,5.00,14.00,4.00,8.00,4.00,7.00,8.00,62.00,30.00,11.36,4.00,82.00%,13.00
Porto,Portugal,10.50,6.00,25.00,14.00,10.00,4.00,14.00,4.00,8.00,4.00,5.00,6.00,20.00,12.00,22.31,24.00,78.00%,16.00
Palma de Mallorca,Spain,10.75,7.00,29.00,10.00,10.00,4.00,14.00,4.00,8.00,4.00,5.00,6.00,25.00,13.00,23.81,32.00,82.00%,13.00
Hvar,Croatia,11.50,8.00,28.00,11.00,10.00,4.00,14.00,4.00,7.00,5.00,9.00,10.00,50.00,23.00,20.37,20.00,80.00%,15.00
Honolulu,USA,11.75,9.00,30.00,9.00,9.00,5.00,13.00,5.00,11.00,1.00,7.00,8.00,14.00,11.00,25.00,35.00,74.00%,20.00
Santorini,Greece,12.00,10.00,27.00,12.00,12.00,2.00,13.00,5.00,9.00,3.00,1.00,2.00,1.00,2.00,44.88,69.00,99.00%,1.00
Seville,Spain,12.50,11.00,35.00,5.00,11.00,3.00,14.00,4.00,9.00,3.00,2.00,3.00,5.00,6.00,41.41,67.00,86.00%,9.00
Cairns,Australia,12.63,12.00,26.00,13.00,8.00,6.00,12.00,6.00,9.00,3.00,4.00,5.00,38.00,17.00,20.27,19.00,62.00%,32.00
Split,Croatia,12.75,13.00,28.00,11.00,10.00,4.00,14.00,4.00,7.00,5.00,9.00,10.00,64.00,32.00,20.37,20.00,78.00%,16.00
Gold Coast,Australia,13.00,14.00,21.00,18.00,8.00,6.00,11.00,7.00,5.00,7.00,8.00,9.00,69.00,36.00,16.67,13.00,87.00%,8.00
Lisbon,Portugal,13.00,15.00,28.00,11.00,10.00,4.00,14.00,4.00,8.00,4.00,2.00,3.00,5.00,6.00,36.00,62.00,85.00%,10.00
Sunshine Coast,Australia,13.25,16.00,21.00,18.00,8.00,6.00,11.00,7.00,6.00,6.00,7.00,8.00,61.00,29.00,22.12,23.00,86.00%,9.00
San Francisco,USA,13.38,17.00,20.00,19.00,10.00,4.00,14.00,4.00,9.00,3.00,1.00,2.00,2.00,3.00,40.97,66.00,90.00%,6.00
Ibiza ,Spain,13.75,18.00,29.00,10.00,10.00,4.00,14.00,4.00,8.00,4.00,5.00,6.00,27.00,14.00,34.09,55.00,82.00%,13.00
Brisbane,Australia,13.88,19.00,22.00,17.00,8.00,6.00,11.00,7.00,6.00,6.00,7.00,8.00,43.00,19.00,26.22,40.00,87.00%,8.00
Las Vegas ,USA,13.88,20.00,39.00,3.00,12.00,2.00,13.00,5.00,10.00,2.00,3.00,4.00,11.00,9.00,47.36,74.00,83.00%,12.00
Vancouver,Canada,13.88,21.00,22.00,17.00,8.00,6.00,14.00,4.00,6.00,6.00,8.00,9.00,50.00,23.00,19.82,18.00,66.00%,28.00
Mykonos,Greece,14.25,22.00,27.00,12.00,13.00,1.00,14.00,4.00,9.00,3.00,2.00,3.00,3.00,4.00,54.33,85.00,98.00%,2.00
Vienna,Austria,14.25,23.00,25.00,14.00,7.00,7.00,14.00,4.00,6.00,6.00,12.00,13.00,61.00,29.00,15.50,10.00,63.00%,31.00
Athens,Greece,14.63,24.00,31.00,8.00,11.00,3.00,14.00,4.00,9.00,3.00,2.00,3.00,6.00,7.00,54.33,85.00,96.00%,4.00
Dubai,United Emirates,14.75,25.00,41.00,1.00,10.00,4.00,13.00,5.00,11.00,1.00,0.00,1.00,0.00,1.00,50.64,79.00,68.00%,26.00
Madrid,Spain,15.00,26.00,32.00,7.00,11.00,3.00,14.00,4.00,8.00,4.00,4.00,5.00,12.00,10.00,46.16,72.00,80.00%,15.00
Byron Bay,Australia,15.13,27.00,21.00,18.00,8.00,6.00,11.00,7.00,5.00,7.00,9.00,10.00,93.00,50.00,16.67,13.00,85.00%,10.00
Petra,Jordan,15.50,28.00,33.00,6.00,12.00,2.00,13.00,5.00,11.00,1.00,0.00,1.00,0.00,1.00,67.22,106.00,98.00%,2.00
Ankara,Turkey,15.63,29.00,29.00,10.00,12.00,2.00,14.00,4.00,9.00,3.00,4.00,5.00,10.00,8.00,59.80,90.00,97.00%,3.00
Seattle,USA,15.63,30.00,24.00,15.00,9.00,5.00,14.00,4.00,6.00,6.00,6.00,7.00,31.00,15.00,31.53,49.00,70.00%,24.00
Biarritz,France,16.25,31.00,24.00,15.00,7.00,7.00,14.00,4.00,7.00,5.00,13.00,14.00,97.00,54.00,15.00,8.00,71.00%,23.00
Stockholm,Sweden,16.25,32.00,20.00,19.00,7.00,7.00,15.00,3.00,4.00,8.00,13.00,14.00,61.00,29.00,15.10,9.00,52.00%,41.00
Los Angeles,USA,16.50,33.00,30.00,9.00,11.00,3.00,13.00,5.00,10.00,2.00,1.00,2.00,4.00,5.00,64.35,100.00,90.00%,6.00
Rome,Italy,16.75,34.00,30.00,9.00,10.00,4.00,14.00,4.00,8.00,4.00,6.00,7.00,35.00,16.00,49.81,77.00,82.00%,13.00
Bruges,Belgium,16.75,35.00,21.00,18.00,7.00,7.00,14.00,4.00,6.00,6.00,14.00,15.00,66.00,33.00,17.50,14.00,56.00%,37.00
Copenhagen,Denmark,16.88,36.00,21.00,18.00,7.00,7.00,15.00,3.00,5.00,7.00,13.00,14.00,62.00,30.00,18.80,16.00,53.00%,40.00
Helsinki,Finland,17.13,37.00,20.00,19.00,7.00,7.00,16.00,2.00,4.00,8.00,16.00,17.00,77.00,42.00,9.73,2.00,53.00%,40.00
Cairo ,Egypt,17.38,38.00,35.00,5.00,11.00,3.00,13.00,5.00,11.00,1.00,0.00,1.00,0.00,1.00,83.14,122.00,99.00%,1.00
Bora Bora,French Polynesia,17.50,39.00,28.00,11.00,8.00,6.00,12.00,6.00,9.00,3.00,4.00,5.00,68.00,35.00,33.33,52.00,72.00%,22.00
Valletta ,Malta,17.75,40.00,30.00,9.00,11.00,3.00,13.00,5.00,9.00,3.00,1.00,2.00,6.00,7.00,68.06,108.00,94.00%,5.00
Anguilla,Anguilla,17.75,41.00,31.00,8.00,9.00,5.00,13.00,5.00,11.00,1.00,19.00,20.00,100.00,55.00,8.33,1.00,45.00%,47.00
Tallinn,Estonia,17.88,42.00,20.00,19.00,7.00,7.00,15.00,3.00,4.00,8.00,15.00,16.00,80.00,44.00,14.54,7.00,54.00%,39.00
Austin,USA,18.00,43.00,35.00,5.00,10.00,4.00,13.00,5.00,10.00,2.00,5.00,6.00,52.00,25.00,37.40,64.00,60.00%,33.00
Marrakech,Morocco,18.13,44.00,36.00,4.00,10.00,4.00,13.00,5.00,10.00,2.00,1.00,2.00,2.00,3.00,80.16,119.00,90.00%,6.00
Antigua,Antigua and Barbuda,18.13,45.00,31.00,8.00,8.00,6.00,13.00,5.00,11.00,1.00,16.00,17.00,124.00,63.00,8.33,1.00,48.00%,44.00
Lagos,Portugal,18.25,46.00,28.00,11.00,4.00,10.00,12.00,6.00,11.00,1.00,12.00,13.00,132.00,67.00,23.53,31.00,88.00%,7.00
Doha,Qatar,18.25,47.00,40.00,2.00,11.00,3.00,13.00,5.00,11.00,1.00,0.00,1.00,0.00,1.00,62.50,95.00,55.00%,38.00
Gothenburg,Sweden,18.38,48.00,20.00,19.00,7.00,7.00,15.00,3.00,4.00,8.00,12.00,13.00,79.00,43.00,16.67,13.00,52.00%,41.00
Melbourne,Australia,18.50,49.00,14.00,24.00,5.00,9.00,11.00,7.00,3.00,9.00,10.00,11.00,56.00,27.00,22.78,29.00,62.00%,32.00
Amsterdam, Netherlands,18.50,50.00,21.00,18.00,6.00,8.00,15.00,3.00,5.00,7.00,14.00,15.00,70.00,37.00,21.31,21.00,54.00%,39.00
Nice,France,18.63,51.00,26.00,13.00,9.00,5.00,14.00,4.00,7.00,5.00,6.00,7.00,43.00,19.00,50.00,78.00,76.00%,18.00
Villefranche-sur-Mer,France,18.75,52.00,26.00,13.00,9.00,5.00,14.00,4.00,7.00,5.00,7.00,8.00,43.00,19.00,50.00,78.00,76.00%,18.00
Perth,Australia,19.25,53.00,18.00,21.00,7.00,7.00,11.00,7.00,4.00,8.00,13.00,14.00,118.00,61.00,21.43,22.00,81.00%,14.00
Boston,USA,19.25,54.00,27.00,12.00,9.00,5.00,14.00,4.00,8.00,4.00,10.00,11.00,85.00,47.00,26.03,39.00,62.00%,32.00
Bilbao,Spain,19.38,55.00,24.00,15.00,6.00,8.00,14.00,4.00,7.00,5.00,12.00,13.00,82.00,45.00,26.85,42.00,71.00%,23.00
Sydney,Australia,19.63,56.00,18.00,21.00,7.00,7.00,11.00,7.00,4.00,8.00,10.00,11.00,96.00,53.00,24.53,34.00,78.00%,16.00
Tromsø,Norway,19.75,57.00,13.00,25.00,6.00,8.00,18.00,1.00,2.00,10.00,18.00,19.00,73.00,39.00,14.06,6.00,39.00%,50.00
Rotterdam,Netherlands,20.00,58.00,21.00,18.00,6.00,8.00,15.00,3.00,5.00,7.00,13.00,14.00,68.00,35.00,25.76,38.00,56.00%,37.00
Bern,Switzerland,20.38,59.00,21.00,18.00,7.00,7.00,14.00,4.00,7.00,5.00,16.00,17.00,121.00,62.00,19.23,17.00,60.00%,33.00
Bratislava ,Slovakia,20.50,60.00,25.00,14.00,7.00,7.00,14.00,4.00,6.00,6.00,11.00,12.00,64.00,32.00,35.16,59.00,64.00%,30.00
Edinburgh,United Kingdom,20.63,61.00,18.00,21.00,5.00,9.00,15.00,3.00,5.00,7.00,16.00,17.00,70.00,37.00,22.56,27.00,48.00%,44.00
Queenstown,New Zealand,20.63,62.00,8.00,28.00,4.00,10.00,10.00,8.00,2.00,10.00,10.00,11.00,85.00,47.00,10.00,3.00,44.00%,48.00
Geneva ,Switzerland,20.75,63.00,24.00,15.00,7.00,7.00,14.00,4.00,7.00,5.00,14.00,15.00,90.00,49.00,26.52,41.00,64.00%,30.00
Toronto,Canada,21.00,64.00,25.00,14.00,8.00,6.00,14.00,4.00,7.00,5.00,10.00,11.00,83.00,46.00,33.74,54.00,66.00%,28.00
Amalfi Coast,Italy,21.13,65.00,29.00,10.00,9.00,5.00,14.00,4.00,8.00,4.00,7.00,8.00,38.00,17.00,71.64,111.00,85.00%,10.00
Naples,Italy,21.13,66.00,29.00,10.00,9.00,5.00,14.00,4.00,8.00,4.00,7.00,8.00,38.00,17.00,71.64,111.00,85.00%,10.00
Sorrento,Italy,21.13,67.00,28.00,11.00,10.00,4.00,14.00,4.00,8.00,4.00,6.00,7.00,39.00,18.00,71.64,111.00,85.00%,10.00
Barcelona,Spain,21.13,68.00,27.00,12.00,9.00,5.00,14.00,4.00,8.00,4.00,8.00,9.00,53.00,26.00,61.15,93.00,78.00%,16.00
Oslo,Norway,21.13,69.00,20.00,19.00,6.00,8.00,18.00,1.00,2.00,10.00,18.00,19.00,73.00,39.00,22.83,30.00,49.00%,43.00
Hamburg,Germany,21.50,70.00,22.00,17.00,7.00,7.00,15.00,3.00,5.00,7.00,16.00,17.00,82.00,45.00,25.66,36.00,53.00%,40.00
Monaco,Monaco,21.88,71.00,25.00,14.00,9.00,5.00,14.00,4.00,7.00,5.00,7.00,8.00,46.00,20.00,64.39,101.00,76.00%,18.00
Montreal,Canada,22.25,72.00,25.00,14.00,7.00,7.00,14.00,4.00,7.00,5.00,13.00,14.00,101.00,56.00,30.43,46.00,62.00%,32.00
Munich,Germany,22.25,73.00,22.00,17.00,7.00,7.00,14.00,4.00,6.00,6.00,16.00,17.00,104.00,58.00,24.38,33.00,57.00%,36.00
Prague,Czech Republic,22.25,74.00,24.00,15.00,7.00,7.00,14.00,4.00,6.00,6.00,13.00,14.00,71.00,38.00,35.00,58.00,57.00%,36.00
Zagreb,Croatia,22.38,75.00,25.00,14.00,8.00,6.00,14.00,4.00,7.00,5.00,13.00,14.00,97.00,54.00,34.43,57.00,69.00%,25.00
