CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Perth,Australia,5.00,1.00,28.00,2.00,11.00,1.00,14.00,3.00,11.00,1.00,4.00,4.00,12.00,6.00,21.43,22.00,83.00%,1.00
Lagos,Portugal,10.13,2.00,32.00,2.00,6.00,5.00,12.00,5.00,10.00,2.00,2.00,2.00,19.00,10.00,23.53,31.00,54.00%,24.00
Cape Town,South Africa,10.25,3.00,24.00,2.00,11.00,1.00,14.00,3.00,11.00,1.00,6.00,6.00,43.00,19.00,30.84,47.00,77.00%,3.00
Melbourne,Australia,11.25,4.00,24.00,2.00,8.00,3.00,15.00,2.00,11.00,1.00,9.00,9.00,56.00,29.00,22.78,29.00,63.00%,15.00
Anguilla,Anguilla,11.63,5.00,29.00,2.00,8.00,3.00,11.00,6.00,7.00,5.00,20.00,20.00,89.00,52.00,8.33,1.00,74.00%,4.00
Antigua,Antigua and Barbuda,11.63,6.00,29.00,2.00,7.00,4.00,11.00,6.00,8.00,4.00,17.00,17.00,88.00,51.00,8.33,1.00,70.00%,8.00
Miami,United States,12.63,7.00,24.00,2.00,7.00,4.00,11.00,6.00,5.00,7.00,6.00,6.00,43.00,19.00,29.27,45.00,66.00%,12.00
Wellington,New Zealand,13.13,8.00,19.00,2.00,7.00,4.00,15.00,2.00,10.00,2.00,12.00,12.00,94.00,56.00,13.92,5.00,56.00%,22.00
Dubai,United Emirates,13.50,9.00,26.00,2.00,8.00,3.00,11.00,6.00,5.00,7.00,2.00,2.00,14.00,7.00,50.64,79.00,78.00%,2.00
Cancun,Mexico,13.63,10.00,28.00,2.00,6.00,5.00,11.00,6.00,7.00,5.00,7.00,7.00,84.00,48.00,22.41,25.00,67.00%,11.00
