CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Perth,Australia,6.00,1.00,31.00,4.00,10.00,1.00,13.00,2.00,11.00,1.00,5.00,6.00,18.00,10.00,21.43,22.00,85.00%,2.00
Antigua,Antigua and Barbuda,7.63,2.00,28.00,7.00,8.00,3.00,12.00,3.00,10.00,2.00,13.00,14.00,37.00,24.00,8.33,1.00,77.00%,7.00
Anguilla,Anguilla,7.75,3.00,29.00,6.00,8.00,3.00,12.00,3.00,10.00,2.00,14.00,15.00,43.00,29.00,8.33,1.00,81.00%,3.00
Cape Town,South Africa,10.63,4.00,25.00,10.00,10.00,1.00,13.00,2.00,11.00,1.00,4.00,5.00,31.00,18.00,30.84,47.00,86.00%,1.00
Tulum,Mexico,11.13,5.00,30.00,5.00,7.00,4.00,11.00,4.00,9.00,3.00,5.00,6.00,53.00,39.00,21.43,22.00,78.00%,6.00
Melbourne,Australia,12.00,6.00,26.00,9.00,8.00,3.00,14.00,1.00,10.00,2.00,9.00,10.00,45.00,31.00,22.78,29.00,71.00%,11.00
Cancun,Mexico,12.25,7.00,28.00,7.00,7.00,4.00,11.00,4.00,9.00,3.00,5.00,6.00,55.00,41.00,22.41,25.00,76.00%,8.00
Lagos,Portugal,12.25,8.00,33.00,2.00,6.00,5.00,12.00,3.00,11.00,1.00,3.00,4.00,42.00,28.00,23.53,31.00,57.00%,24.00
Cartagena,Colombia,12.25,9.00,31.00,4.00,8.00,3.00,12.00,3.00,11.00,1.00,0.00,1.00,2.00,1.00,33.33,52.00,48.00%,33.00
Wellington,New Zealand,12.50,10.00,20.00,14.00,7.00,4.00,14.00,1.00,10.00,2.00,9.00,10.00,62.00,47.00,13.92,5.00,65.00%,17.00
Zanzibar,Tanzania,13.25,11.00,32.00,3.00,8.00,3.00,12.00,3.00,11.00,1.00,5.00,6.00,54.00,40.00,8.33,1.00,28.00%,49.00
Honolulu,USA,13.63,12.00,26.00,9.00,7.00,4.00,11.00,4.00,9.00,3.00,9.00,10.00,51.00,37.00,25.00,35.00,77.00%,7.00
St Barts,Saint Barthélemy,14.13,13.00,29.00,6.00,8.00,3.00,12.00,3.00,10.00,2.00,14.00,15.00,43.00,29.00,32.14,50.00,79.00%,5.00
Queenstown,New Zealand,14.75,14.00,20.00,14.00,7.00,4.00,14.00,1.00,9.00,3.00,9.00,10.00,67.00,50.00,10.00,3.00,48.00%,33.00
Phuket,Thailand,14.75,15.00,33.00,2.00,9.00,2.00,12.00,3.00,11.00,1.00,3.00,4.00,27.00,15.00,31.03,48.00,36.00%,43.00
Panama City,Panama,15.88,16.00,31.00,4.00,7.00,4.00,12.00,3.00,11.00,1.00,6.00,7.00,13.00,8.00,48.97,76.00,57.00%,24.00
Miami,USA,16.13,17.00,24.00,11.00,8.00,3.00,11.00,4.00,7.00,5.00,6.00,7.00,56.00,42.00,29.27,45.00,70.00%,12.00
