CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Perth,Australia,4.63,1.00,31.00,2.00,11.00,1.00,14.00,2.00,11.00,1.00,3.00,3.00,8.00,4.00,21.43,22.00,85.00%,2.00
Anguilla,Anguilla,9.50,2.00,29.00,4.00,8.00,3.00,11.00,5.00,8.00,4.00,17.00,17.00,63.00,39.00,8.33,1.00,81.00%,3.00
Lagos,Portugal,10.00,3.00,32.00,1.00,6.00,5.00,12.00,4.00,11.00,1.00,2.00,2.00,21.00,11.00,23.53,31.00,57.00%,25.00
Cape Town,South Africa,10.13,4.00,25.00,8.00,11.00,1.00,14.00,2.00,11.00,1.00,5.00,5.00,32.00,16.00,30.84,47.00,86.00%,1.00
Antigua,Antigua and Barbuda,10.38,5.00,28.00,5.00,8.00,3.00,11.00,5.00,8.00,4.00,16.00,16.00,67.00,43.00,8.33,1.00,77.00%,6.00
Tulum,Mexico,12.63,6.00,29.00,4.00,6.00,5.00,11.00,5.00,8.00,4.00,7.00,7.00,71.00,47.00,21.43,22.00,76.00%,7.00
Cancun,Mexico,13.25,7.00,28.00,5.00,6.00,5.00,11.00,5.00,7.00,5.00,6.00,6.00,69.00,45.00,22.41,25.00,72.00%,10.00
Wellington,New Zealand,13.25,8.00,20.00,12.00,8.00,3.00,15.00,1.00,11.00,1.00,9.00,9.00,80.00,55.00,13.92,5.00,62.00%,20.00
Honolulu,USA,13.50,9.00,26.00,7.00,7.00,4.00,11.00,5.00,7.00,5.00,10.00,10.00,59.00,36.00,25.00,35.00,77.00%,6.00
Dubai,United Emirates,14.50,10.00,24.00,9.00,8.00,3.00,11.00,5.00,6.00,6.00,2.00,2.00,11.00,7.00,50.64,79.00,78.00%,5.00
Sydney,Australia,14.50,11.00,26.00,7.00,7.00,4.00,14.00,2.00,11.00,1.00,20.00,20.00,43.00,25.00,9.73,2.00,26.00%,55.00
Auckland,New Zealand,15.50,12.00,23.00,10.00,7.00,4.00,14.00,2.00,11.00,1.00,11.00,11.00,75.00,50.00,22.63,28.00,64.00%,18.00
St Barts,Saint Barthélemy,15.63,13.00,29.00,4.00,8.00,3.00,11.00,5.00,8.00,4.00,17.00,17.00,63.00,39.00,32.14,50.00,81.00%,3.00
Phuket,Thailand,15.88,14.00,32.00,1.00,9.00,2.00,12.00,4.00,11.00,1.00,5.00,5.00,40.00,23.00,31.03,48.00,38.00%,43.00
Miami,USA,16.00,15.00,24.00,9.00,7.00,4.00,11.00,5.00,6.00,6.00,7.00,7.00,61.00,37.00,29.27,45.00,67.00%,15.00
Queenstown,New Zealand,16.13,16.00,20.00,12.00,7.00,4.00,15.00,1.00,10.00,2.00,11.00,11.00,99.00,63.00,10.00,3.00,48.00%,33.00
Nassau,Bahamas,16.25,17.00,25.00,8.00,7.00,4.00,11.00,5.00,6.00,6.00,19.00,19.00,46.00,28.00,14.54,7.00,28.00%,53.00
Siem Reap,Cambodia,16.38,18.00,31.00,2.00,9.00,2.00,11.00,5.00,10.00,2.00,17.00,17.00,47.00,29.00,24.38,33.00,40.00%,41.00
Zanzibar,Tanzania,16.38,19.00,32.00,1.00,8.00,3.00,12.00,4.00,11.00,1.00,10.00,10.00,86.00,58.00,8.33,1.00,28.00%,53.00
Sarajevo,Bosnia and Herzegovina,16.50,20.00,1.00,31.00,2.00,9.00,9.00,7.00,1.00,10.00,14.00,14.00,31.00,15.00,15.50,10.00,45.00%,36.00
Byron Bay,Australia,16.75,21.00,28.00,5.00,8.00,3.00,14.00,2.00,11.00,1.00,13.00,13.00,179.00,83.00,16.67,13.00,68.00%,14.00
