CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Crete,Greece,4.50,1.00,28.00,9.00,12.00,3.00,14.00,6.00,11.00,1.00,0.00,1.00,3.00,3.00,15.79,12.00,100.00%,1.00
Dubrovnik,Croatia,8.38,2.00,28.00,9.00,10.00,5.00,15.00,5.00,9.00,3.00,7.00,8.00,51.00,22.00,11.36,4.00,86.00%,11.00
Malaga ,Spain,8.88,3.00,30.00,7.00,11.00,4.00,14.00,6.00,10.00,2.00,3.00,4.00,4.00,4.00,25.74,37.00,92.00%,7.00
Palma de Mallorca,Spain,9.00,4.00,29.00,8.00,11.00,4.00,15.00,5.00,9.00,3.00,3.00,4.00,9.00,7.00,23.81,32.00,89.00%,9.00
Zanzibar,Tanzania,9.63,5.00,28.00,9.00,8.00,7.00,12.00,8.00,10.00,2.00,7.00,8.00,50.00,21.00,8.33,1.00,72.00%,21.00
Hvar,Croatia,9.75,6.00,28.00,9.00,11.00,4.00,15.00,5.00,8.00,4.00,8.00,9.00,36.00,15.00,20.37,20.00,84.00%,12.00
Porto,Portugal,9.88,7.00,25.00,12.00,10.00,5.00,15.00,5.00,8.00,4.00,6.00,7.00,15.00,10.00,22.31,24.00,84.00%,12.00
Darwin,Australia,10.00,8.00,31.00,6.00,10.00,5.00,11.00,9.00,9.00,3.00,5.00,6.00,1.00,2.00,15.57,11.00,54.00%,38.00
Split,Croatia,10.63,9.00,28.00,9.00,11.00,4.00,15.00,5.00,8.00,4.00,10.00,11.00,46.00,18.00,20.37,20.00,82.00%,14.00
Honolulu,USA,11.50,10.00,29.00,8.00,10.00,5.00,13.00,7.00,11.00,1.00,8.00,9.00,13.00,9.00,25.00,35.00,75.00%,18.00
