"

      IBIZA SUMMER VILLAS",,,,,,,,,,,,,,,,,,,,
       The Vitamin D Index,,JUNE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,SOURCE,,,,,weather2travel.com,,weather2travel.com,,,,weather2travel.com,,weather2travel.com,,,,weatherspark.com,
,CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,HIGHEST MONTHLY TEMP,HIGHEST MONTHLY TEMP RANK,DAILY HOURS OF SUNSHINE,DAILY HOURS OF SUNSHINE RANK,DAILY HOURS OF DAYLIGHT,DAILY HOURS OF DAYLIGHT RANK,AVERAGE MONTHLY UV,UV RANK,NUMBER OF DAYS WITH SOME RAIN,NUMBER OF DAYS WITH SOME RAIN,MONTHLY RAINFALL,MONTHLY RAINFALL RANK,AIR POLLUTION,AIR POLLUTION RANK,CLEAR SKIES,CLEAR SKIES RANK
,Crete,Greece,5.50,1.00,27.00,11.00,12.00,2.00,15.00,6.00,10.00,2.00,1.00,2.00,8.00,7.00,15.79,12.00,93.00%,2.00
,Darwin,Australia,9.50,2.00,31.00,7.00,10.00,4.00,11.00,10.00,8.00,4.00,5.00,4.00,1.00,2.00,15.57,11.00,51.00%,34.00
,Malaga ,Spain,10.38,3.00,27.00,11.00,11.00,3.00,15.00,6.00,10.00,2.00,5.00,4.00,17.00,10.00,25.74,37.00,79.00%,10.00
,Honolulu,USA,10.50,4.00,29.00,9.00,9.00,5.00,13.00,8.00,11.00,1.00,7.00,6.00,7.00,6.00,25.00,35.00,74.00%,14.00
,Palma de Mallorca,Spain,11.00,5.00,25.00,13.00,10.00,4.00,15.00,6.00,9.00,3.00,5.00,4.00,18.00,11.00,23.81,32.00,73.00%,15.00
,Zanzibar,Tanzania,11.75,6.00,29.00,9.00,8.00,6.00,12.00,9.00,9.00,3.00,7.00,6.00,70.00,39.00,8.33,1.00,64.00%,21.00
,Dubrovnik,Croatia,12.00,7.00,25.00,13.00,9.00,5.00,15.00,6.00,8.00,4.00,10.00,9.00,71.00,40.00,11.36,4.00,73.00%,15.00
,Helsinki,Finland,12.13,8.00,19.00,19.00,9.00,5.00,19.00,2.00,5.00,7.00,11.00,10.00,42.00,21.00,9.73,2.00,54.00%,31.00
,Las Vegas ,USA,12.25,9.00,37.00,3.00,13.00,1.00,15.00,6.00,10.00,2.00,1.00,2.00,2.00,3.00,47.36,74.00,85.00%,7.00
,Santorini,Greece,12.38,10.00,26.00,12.00,13.00,1.00,15.00,6.00,10.00,2.00,1.00,2.00,4.00,5.00,44.88,69.00,93.00%,2.00
,Stockholm,Sweden,12.88,11.00,20.00,18.00,9.00,5.00,18.00,3.00,5.00,7.00,10.00,9.00,45.00,22.00,15.10,9.00,55.00%,30.00
,Hvar,Croatia,13.00,12.00,25.00,13.00,10.00,4.00,15.00,6.00,8.00,4.00,11.00,10.00,57.00,30.00,20.37,20.00,71.00%,17.00
,Tallinn,Estonia,13.00,13.00,19.00,19.00,10.00,4.00,19.00,2.00,5.00,7.00,12.00,11.00,49.00,24.00,14.54,7.00,55.00%,30.00
,Dubai,United Emirates,13.38,14.00,39.00,2.00,11.00,3.00,14.00,7.00,11.00,1.00,0.00,1.00,0.00,1.00,50.64,79.00,75.00%,13.00
,Ibiza ,Spain,13.38,15.00,26.00,12.00,10.00,4.00,15.00,6.00,9.00,3.00,5.00,4.00,16.00,9.00,34.09,55.00,74.00%,14.00
,Porto,Portugal,13.38,16.00,23.00,15.00,9.00,5.00,15.00,6.00,8.00,4.00,9.00,8.00,53.00,26.00,22.31,24.00,69.00%,19.00
,Seville,Spain,13.75,17.00,31.00,7.00,11.00,3.00,15.00,6.00,9.00,3.00,5.00,4.00,17.00,10.00,41.41,67.00,79.00%,10.00
,Anguilla,Anguilla,13.88,18.00,31.00,7.00,8.00,6.00,13.00,8.00,11.00,1.00,13.00,12.00,62.00,33.00,8.33,1.00,38.00%,43.00
,San Francisco,USA,14.13,19.00,19.00,19.00,11.00,3.00,15.00,6.00,9.00,3.00,1.00,2.00,4.00,5.00,40.97,66.00,81.00%,9.00
,Lisbon,Portugal,14.50,20.00,25.00,13.00,9.00,5.00,15.00,6.00,9.00,3.00,5.00,4.00,21.00,12.00,36.00,62.00,77.00%,11.00
,Copenhagen,Denmark,14.50,21.00,20.00,18.00,8.00,6.00,17.00,4.00,6.00,6.00,11.00,10.00,54.00,27.00,18.80,16.00,56.00%,29.00
,Antigua,Antigua and Barbuda,14.63,22.00,30.00,8.00,8.00,6.00,13.00,8.00,11.00,1.00,14.00,13.00,70.00,39.00,8.33,1.00,40.00%,41.00
,Mykonos,Greece,14.75,23.00,26.00,12.00,13.00,1.00,15.00,6.00,9.00,3.00,1.00,2.00,7.00,6.00,54.33,85.00,91.00%,3.00
,Doha,Qatar,14.75,24.00,40.00,1.00,11.00,3.00,14.00,7.00,11.00,1.00,0.00,1.00,0.00,1.00,62.50,95.00,81.00%,9.00
,Gothenburg,Sweden,14.75,25.00,19.00,19.00,8.00,6.00,18.00,3.00,5.00,7.00,11.00,10.00,59.00,31.00,16.67,13.00,56.00%,29.00
,Athens,Greece,15.13,26.00,29.00,9.00,11.00,3.00,15.00,6.00,9.00,3.00,2.00,3.00,12.00,8.00,54.33,85.00,88.00%,4.00
,Split,Croatia,15.13,27.00,25.00,13.00,9.00,5.00,15.00,6.00,8.00,4.00,13.00,12.00,74.00,42.00,20.37,20.00,69.00%,19.00
,Petra,Jordan,15.50,28.00,32.00,6.00,13.00,1.00,14.00,7.00,11.00,1.00,0.00,1.00,0.00,1.00,67.22,106.00,97.00%,1.00
,Biarritz,France,15.50,29.00,22.00,16.00,7.00,7.00,15.00,6.00,8.00,4.00,13.00,12.00,85.00,47.00,15.00,8.00,61.00%,24.00
,Vienna,Austria,15.63,30.00,23.00,15.00,7.00,7.00,16.00,5.00,7.00,5.00,14.00,13.00,72.00,41.00,15.50,10.00,56.00%,29.00
,Vancouver,Canada,15.63,31.00,20.00,18.00,8.00,6.00,16.00,5.00,6.00,6.00,10.00,9.00,56.00,29.00,19.82,18.00,51.00%,34.00
,Tromsø,Norway,16.13,32.00,11.00,25.00,8.00,6.00,24.00,1.00,3.00,9.00,16.00,15.00,55.00,28.00,14.06,6.00,42.00%,39.00
,Madrid,Spain,16.50,33.00,28.00,10.00,10.00,4.00,15.00,6.00,9.00,3.00,8.00,7.00,28.00,14.00,46.16,72.00,72.00%,16.00
,Cairns,Australia,16.50,34.00,25.00,13.00,7.00,7.00,11.00,10.00,7.00,5.00,6.00,5.00,72.00,41.00,20.27,19.00,53.00%,32.00
,Los Angeles,USA,16.63,35.00,26.00,12.00,10.00,4.00,14.00,7.00,10.00,2.00,0.00,1.00,1.00,2.00,64.35,100.00,87.00%,5.00
,Amsterdam, Netherlands,16.88,36.00,19.00,19.00,7.00,7.00,17.00,4.00,6.00,6.00,14.00,13.00,61.00,32.00,21.31,21.00,52.00%,33.00
,Gold Coast,Australia,17.00,37.00,21.00,17.00,7.00,7.00,10.00,11.00,4.00,8.00,9.00,8.00,110.00,59.00,16.67,13.00,75.00%,13.00
,Cairo ,Egypt,17.38,38.00,35.00,4.00,12.00,2.00,14.00,7.00,11.00,1.00,0.00,1.00,0.00,1.00,83.14,122.00,97.00%,1.00
,Brisbane,Australia,17.38,39.00,22.00,16.00,7.00,7.00,10.00,11.00,4.00,8.00,7.00,6.00,69.00,38.00,26.22,40.00,75.00%,13.00
,Rome,Italy,17.38,40.00,27.00,11.00,10.00,4.00,15.00,6.00,8.00,4.00,8.00,7.00,37.00,17.00,49.81,77.00,75.00%,13.00
,Oslo,Norway,17.50,41.00,20.00,18.00,8.00,6.00,24.00,1.00,3.00,9.00,16.00,15.00,55.00,28.00,22.83,30.00,52.00%,33.00
,Melbourne,Australia,17.63,42.00,14.00,23.00,4.00,10.00,10.00,11.00,2.00,10.00,10.00,9.00,40.00,19.00,22.78,29.00,55.00%,30.00
,Seattle,USA,17.63,43.00,21.00,17.00,9.00,5.00,16.00,5.00,7.00,5.00,9.00,8.00,41.00,20.00,31.53,49.00,53.00%,32.00
,Ankara,Turkey,18.00,44.00,25.00,13.00,11.00,3.00,15.00,6.00,10.00,2.00,8.00,7.00,35.00,16.00,59.80,90.00,85.00%,7.00
,Valletta ,Malta,18.00,45.00,27.00,11.00,11.00,3.00,15.00,6.00,10.00,2.00,1.00,2.00,3.00,4.00,68.06,108.00,84.00%,8.00
,Sunshine Coast,Australia,18.13,46.00,21.00,17.00,7.00,7.00,10.00,11.00,4.00,8.00,7.00,6.00,112.00,60.00,22.12,23.00,75.00%,13.00
,Bilbao,Spain,18.25,47.00,22.00,16.00,6.00,8.00,15.00,6.00,8.00,4.00,12.00,11.00,63.00,34.00,26.85,42.00,60.00%,25.00
,Bruges,Belgium,18.25,48.00,21.00,17.00,7.00,7.00,15.00,6.00,8.00,4.00,14.00,13.00,97.00,53.00,17.50,14.00,53.00%,32.00
,Edinburgh,United Kingdom,18.25,49.00,17.00,21.00,6.00,8.00,18.00,3.00,5.00,7.00,14.00,13.00,56.00,29.00,22.56,27.00,46.00%,38.00
,Boston,USA,18.63,50.00,25.00,13.00,9.00,5.00,15.00,6.00,8.00,4.00,11.00,10.00,80.00,45.00,26.03,39.00,58.00%,27.00
,Marrakech,Morocco,18.75,51.00,31.00,7.00,11.00,3.00,14.00,7.00,11.00,1.00,1.00,2.00,4.00,5.00,80.16,119.00,86.00%,6.00
,Austin,USA,19.25,52.00,33.00,5.00,10.00,4.00,14.00,7.00,11.00,1.00,7.00,6.00,89.00,49.00,37.40,64.00,70.00%,18.00
,Hamburg,Germany,19.25,53.00,20.00,18.00,8.00,6.00,17.00,4.00,6.00,6.00,15.00,14.00,68.00,37.00,25.66,36.00,52.00%,33.00
,Byron Bay,Australia,19.38,54.00,20.00,18.00,7.00,7.00,10.00,11.00,3.00,9.00,9.00,8.00,153.00,73.00,16.67,13.00,72.00%,16.00
,Rotterdam,Netherlands,19.50,55.00,19.00,19.00,6.00,8.00,17.00,4.00,6.00,6.00,13.00,12.00,68.00,37.00,25.76,38.00,53.00%,32.00
