CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Perth,Australia,6.50,1.00,29.00,7.00,9.00,2.00,12.00,1.00,9.00,3.00,6.00,7.00,15.00,6.00,21.43,22.00,77.00%,4.00
Anguilla,Anguilla,6.63,2.00,29.00,7.00,9.00,2.00,12.00,1.00,11.00,1.00,13.00,14.00,43.00,22.00,8.33,1.00,76.00%,5.00
Antigua,Antigua and Barbuda,6.88,3.00,29.00,7.00,8.00,3.00,12.00,1.00,11.00,1.00,12.00,13.00,40.00,19.00,8.33,1.00,71.00%,10.00
Tulum,Mexico,7.50,4.00,31.00,5.00,8.00,3.00,12.00,1.00,11.00,1.00,4.00,5.00,37.00,17.00,21.43,22.00,75.00%,6.00
Cancun,Mexico,7.88,5.00,30.00,6.00,8.00,3.00,12.00,1.00,11.00,1.00,3.00,4.00,36.00,16.00,22.41,25.00,74.00%,7.00
Cape Town,South Africa,11.88,6.00,24.00,12.00,9.00,2.00,12.00,1.00,9.00,3.00,5.00,6.00,43.00,22.00,30.84,47.00,79.00%,2.00
Melbourne,Australia,12.13,7.00,24.00,12.00,7.00,4.00,12.00,1.00,8.00,4.00,10.00,11.00,44.00,23.00,22.78,29.00,68.00%,13.00
Honolulu,USA,12.25,8.00,26.00,10.00,8.00,3.00,12.00,1.00,11.00,1.00,10.00,11.00,51.00,29.00,25.00,35.00,73.00%,8.00
St Barts,Saint Barthélemy,12.88,9.00,29.00,7.00,9.00,2.00,12.00,1.00,11.00,1.00,13.00,14.00,43.00,22.00,32.14,50.00,75.00%,6.00
Cartagena,Colombia,13.25,10.00,31.00,5.00,8.00,3.00,12.00,1.00,11.00,1.00,0.00,1.00,6.00,2.00,33.33,52.00,39.00%,41.00
Montego Bay,Jamaica,13.75,11.00,30.00,6.00,8.00,3.00,12.00,1.00,11.00,1.00,6.00,7.00,27.00,9.00,51.67,81.00,79.00%,2.00
Miami,USA,13.88,12.00,25.00,11.00,9.00,2.00,12.00,1.00,10.00,2.00,6.00,7.00,53.00,31.00,29.27,45.00,69.00%,12.00
Dubai,United Emirates,14.25,13.00,28.00,8.00,8.00,3.00,12.00,1.00,10.00,2.00,4.00,5.00,24.00,8.00,50.64,79.00,73.00%,8.00
Panama City,Panama,14.75,14.00,31.00,5.00,8.00,3.00,12.00,1.00,11.00,1.00,5.00,6.00,11.00,5.00,48.97,76.00,59.00%,21.00
Vienna,Austria,14.75,15.00,10.00,26.00,4.00,7.00,12.00,1.00,3.00,9.00,13.00,14.00,35.00,15.00,15.50,10.00,44.00%,36.00
Nassau,Bahamas,14.88,16.00,26.00,10.00,8.00,3.00,12.00,1.00,10.00,2.00,9.00,10.00,30.00,12.00,47.12,73.00,73.00%,8.00
