CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Crete,Greece,6.50,1.00,23.00,13.00,10.00,3.00,14.00,5.00,9.00,3.00,3.00,4.00,20.00,9.00,15.79,12.00,78.00%,3.00
Darwin,Australia,8.88,2.00,32.00,5.00,10.00,3.00,12.00,7.00,10.00,2.00,6.00,7.00,20.00,9.00,15.57,11.00,49.00%,27.00
Honolulu,USA,10.13,3.00,28.00,9.00,9.00,4.00,13.00,6.00,11.00,1.00,8.00,9.00,16.00,7.00,25.00,35.00,70.00%,10.00
Helsinki,Finland,11.13,4.00,15.00,21.00,8.00,5.00,17.00,2.00,4.00,8.00,10.00,11.00,33.00,15.00,9.73,2.00,51.00%,25.00
Dubai,United Emirates,11.63,5.00,37.00,2.00,11.00,2.00,13.00,6.00,11.00,1.00,0.00,1.00,1.00,1.00,50.64,79.00,84.00%,1.00
Stockholm,Sweden,11.75,6.00,15.00,21.00,8.00,5.00,17.00,2.00,4.00,8.00,10.00,11.00,29.00,13.00,15.10,9.00,51.00%,25.00
Tallinn,Estonia,12.00,7.00,15.00,21.00,9.00,4.00,17.00,2.00,4.00,8.00,11.00,12.00,38.00,18.00,14.54,7.00,52.00%,24.00
Malaga,Spain,12.38,8.00,23.00,13.00,9.00,4.00,14.00,5.00,8.00,4.00,8.00,9.00,30.00,14.00,25.74,37.00,66.00%,13.00
Las Vegas ,USA,12.63,9.00,31.00,6.00,13.00,1.00,14.00,5.00,9.00,3.00,2.00,3.00,5.00,4.00,47.36,74.00,76.00%,5.00
Palma de Mallorca,Spain,13.00,10.00,21.00,15.00,9.00,4.00,14.00,5.00,8.00,4.00,9.00,10.00,36.00,17.00,23.81,32.00,60.00%,17.00
Dubrovnik,Croatia,13.38,11.00,21.00,15.00,8.00,5.00,15.00,4.00,7.00,5.00,10.00,11.00,84.00,44.00,11.36,4.00,58.00%,19.00
Copenhagen,Denmark,13.50,12.00,16.00,20.00,8.00,5.00,16.00,3.00,5.00,7.00,11.00,12.00,43.00,21.00,18.80,16.00,52.00%,24.00
Santorini,Greece,13.63,13.00,22.00,14.00,10.00,3.00,14.00,5.00,8.00,4.00,3.00,4.00,14.00,6.00,44.88,69.00,77.00%,4.00
Hvar,Croatia,13.75,14.00,21.00,15.00,8.00,5.00,15.00,4.00,7.00,5.00,11.00,12.00,57.00,31.00,20.37,20.00,59.00%,18.00
Gothenburg,Sweden,13.75,15.00,16.00,20.00,7.00,6.00,17.00,2.00,4.00,8.00,11.00,12.00,49.00,25.00,16.67,13.00,52.00%,24.00
Doha,Qatar,13.88,16.00,38.00,1.00,11.00,2.00,13.00,6.00,11.00,1.00,0.00,1.00,4.00,3.00,62.50,95.00,82.00%,2.00
Vienna,Austria,14.38,17.00,20.00,16.00,7.00,6.00,15.00,4.00,6.00,6.00,13.00,14.00,62.00,34.00,15.50,10.00,51.00%,25.00
San Francisco,USA,14.50,18.00,18.00,18.00,11.00,2.00,14.00,5.00,8.00,4.00,3.00,4.00,7.00,5.00,40.97,66.00,67.00%,12.00
Tromsø,Norway,14.88,19.00,7.00,24.00,7.00,6.00,22.00,1.00,3.00,9.00,15.00,16.00,45.00,22.00,14.06,6.00,40.00%,35.00
Ibiza ,Spain,15.00,20.00,22.00,14.00,9.00,4.00,14.00,5.00,8.00,4.00,8.00,9.00,27.00,12.00,34.09,55.00,60.00%,17.00
Split,Croatia,15.00,21.00,21.00,15.00,8.00,5.00,15.00,4.00,7.00,5.00,12.00,13.00,69.00,38.00,20.37,20.00,57.00%,20.00
Antigua,Antigua and Barbuda,15.00,22.00,30.00,7.00,8.00,5.00,13.00,6.00,11.00,1.00,14.00,15.00,91.00,49.00,8.33,1.00,39.00%,36.00
Bruges,Belgium,15.38,23.00,16.00,20.00,7.00,6.00,16.00,3.00,5.00,7.00,15.00,16.00,56.00,30.00,17.50,14.00,49.00%,27.00
Seville,Spain,15.63,24.00,27.00,10.00,10.00,3.00,14.00,5.00,8.00,4.00,7.00,8.00,34.00,16.00,41.41,67.00,67.00%,12.00
Anguilla,Anguilla,15.63,25.00,30.00,7.00,8.00,5.00,13.00,6.00,11.00,1.00,15.00,16.00,95.00,53.00,8.33,1.00,39.00%,36.00
Amsterdam, Netherlands,15.75,26.00,16.00,20.00,7.00,6.00,16.00,3.00,5.00,7.00,14.00,15.00,52.00,27.00,21.31,21.00,49.00%,27.00
Mykonos,Greece,16.00,27.00,22.00,14.00,11.00,2.00,14.00,5.00,8.00,4.00,3.00,4.00,19.00,8.00,54.33,85.00,75.00%,6.00
Petra,Jordan,16.13,28.00,28.00,9.00,11.00,2.00,14.00,5.00,11.00,1.00,1.00,2.00,3.00,2.00,67.22,106.00,82.00%,2.00
Lisbon,Portugal,16.25,29.00,22.00,14.00,8.00,5.00,14.00,5.00,8.00,4.00,8.00,9.00,39.00,19.00,36.00,62.00,67.00%,12.00
Porto,Portugal,16.38,30.00,20.00,16.00,9.00,4.00,15.00,4.00,7.00,5.00,13.00,14.00,86.00,46.00,22.31,24.00,59.00%,18.00
Guadalajara,Mexico,16.50,31.00,32.00,5.00,9.00,4.00,13.00,6.00,11.00,1.00,4.00,5.00,26.00,11.00,54.11,84.00,61.00%,16.00
Athens,Greece,16.63,32.00,24.00,12.00,10.00,3.00,14.00,5.00,8.00,4.00,5.00,6.00,23.00,10.00,54.33,85.00,72.00%,8.00
Tulum,Mexico,16.63,33.00,33.00,4.00,8.00,5.00,13.00,6.00,11.00,1.00,7.00,8.00,108.00,59.00,21.43,22.00,48.00%,28.00
Oslo,Norway,16.63,34.00,15.00,21.00,7.00,6.00,22.00,1.00,3.00,9.00,15.00,16.00,45.00,22.00,22.83,30.00,48.00%,28.00
Los Angeles,USA,16.75,35.00,23.00,13.00,9.00,4.00,14.00,5.00,9.00,3.00,1.00,2.00,5.00,4.00,64.35,100.00,78.00%,3.00
Cancun,Mexico,16.75,36.00,32.00,5.00,8.00,5.00,13.00,6.00,11.00,1.00,7.00,8.00,109.00,60.00,22.41,25.00,52.00%,24.00
Vancouver,Canada,17.00,37.00,17.00,19.00,7.00,6.00,15.00,4.00,6.00,6.00,11.00,12.00,73.00,40.00,19.82,18.00,45.00%,31.00
Cairo ,Egypt,17.63,38.00,32.00,5.00,10.00,3.00,14.00,5.00,10.00,2.00,0.00,1.00,1.00,1.00,83.14,122.00,82.00%,2.00
Melbourne,Australia,17.75,39.00,16.00,20.00,4.00,9.00,10.00,9.00,3.00,9.00,10.00,11.00,64.00,35.00,22.78,29.00,57.00%,20.00
Rotterdam,Netherlands,17.75,40.00,17.00,19.00,7.00,6.00,16.00,3.00,5.00,7.00,14.00,15.00,53.00,28.00,25.76,38.00,50.00%,26.00
Hamburg,Germany,18.13,41.00,17.00,19.00,7.00,6.00,16.00,3.00,5.00,7.00,14.00,15.00,58.00,32.00,25.66,36.00,49.00%,27.00
Brisbane,Australia,18.25,42.00,24.00,12.00,6.00,7.00,11.00,8.00,5.00,7.00,11.00,12.00,93.00,51.00,26.22,40.00,71.00%,9.00
Perth,Australia,18.38,43.00,21.00,15.00,6.00,7.00,10.00,9.00,4.00,8.00,12.00,13.00,112.00,63.00,21.43,22.00,70.00%,10.00
Madrid,Spain,18.38,44.00,22.00,14.00,9.00,4.00,14.00,5.00,8.00,4.00,11.00,12.00,42.00,20.00,46.16,72.00,61.00%,16.00
Edinburgh,United Kingdom,18.38,45.00,14.00,22.00,5.00,8.00,16.00,3.00,5.00,7.00,16.00,17.00,57.00,31.00,22.56,27.00,44.00%,32.00
Seattle,USA,18.50,46.00,18.00,18.00,8.00,5.00,15.00,4.00,6.00,6.00,11.00,12.00,46.00,23.00,31.53,49.00,45.00%,31.00
Biarritz,France,18.63,47.00,19.00,17.00,6.00,7.00,15.00,4.00,7.00,5.00,17.00,18.00,114.00,64.00,15.00,8.00,50.00%,26.00
Bern,Switzerland,18.63,48.00,16.00,20.00,6.00,7.00,15.00,4.00,7.00,5.00,18.00,19.00,81.00,43.00,19.23,17.00,42.00%,34.00
Gold Coast,Australia,18.75,49.00,23.00,13.00,6.00,7.00,11.00,8.00,5.00,7.00,12.00,13.00,146.00,80.00,16.67,13.00,71.00%,9.00
Valletta ,Malta,18.88,50.00,23.00,13.00,10.00,3.00,14.00,5.00,9.00,3.00,3.00,4.00,7.00,5.00,68.06,108.00,70.00%,10.00
Boston,USA,18.88,51.00,20.00,16.00,8.00,5.00,15.00,4.00,7.00,5.00,11.00,12.00,85.00,45.00,26.03,39.00,51.00%,25.00
Rome,Italy,19.00,52.00,23.00,13.00,9.00,4.00,15.00,4.00,7.00,5.00,10.00,11.00,45.00,22.00,49.81,77.00,61.00%,16.00
Wellington,New Zealand,19.63,53.00,14.00,22.00,4.00,9.00,10.00,9.00,2.00,10.00,14.00,15.00,125.00,70.00,13.92,5.00,60.00%,17.00
Cairns,Australia,19.63,54.00,27.00,10.00,6.00,7.00,11.00,8.00,8.00,4.00,8.00,9.00,138.00,77.00,20.27,19.00,53.00%,23.00
Marrakech,Morocco,19.75,55.00,27.00,10.00,9.00,4.00,14.00,5.00,10.00,2.00,4.00,5.00,14.00,6.00,80.16,119.00,74.00%,7.00
Sydney,Australia,19.88,56.00,20.00,16.00,6.00,7.00,10.00,9.00,3.00,9.00,11.00,12.00,108.00,59.00,24.53,34.00,66.00%,13.00
Zanzibar,Tanzania,19.88,57.00,29.00,8.00,6.00,7.00,12.00,7.00,10.00,2.00,16.00,17.00,254.00,95.00,8.33,1.00,55.00%,22.00
Bratislava ,Slovakia,20.00,58.00,20.00,16.00,7.00,6.00,15.00,4.00,7.00,5.00,12.00,13.00,61.00,33.00,35.16,59.00,52.00%,24.00
Byron Bay,Australia,20.25,59.00,23.00,13.00,6.00,7.00,11.00,8.00,5.00,7.00,12.00,13.00,188.00,90.00,16.67,13.00,69.00%,11.00
Toronto,Canada,20.25,60.00,18.00,18.00,7.00,6.00,15.00,4.00,7.00,5.00,11.00,12.00,69.00,38.00,33.74,54.00,51.00%,25.00
