CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,HIGHEST MONTHLY TEMP,HIGHEST MONTHLY TEMP RANK,DAILY HOURS OF SUNSHINE,DAILY HOURS OF SUNSHINE RANK,DAILY HOURS OF DAYLIGHT,DAILY HOURS OF DAYLIGHT RANK,AVERAGE MONTHLY UV,UV RANK,NUMBER OF DAYS WITH SOME RAIN,NUMBER OF DAYS WITH SOME RAIN,MONTHLY RAINFALL,MONTHLY RAINFALL RANK,AIR POLLUTION,AIR POLLUTION RANK,CLEAR SKIES,CLEAR SKIES RANK
Amalfi Coast,Italy,34.00,134.00,17.00,16.00,4.00,7.00,10.00,6.00,2.00,10.00,15.00,15.00,147.00,83.00,71.64,111.00,54.00%,24.00
Amsterdam, Netherlands,23.25,74.00,9.00,24.00,2.00,9.00,9.00,7.00,1.00,11.00,20.00,20.00,88.00,51.00,21.31,21.00,34.00%,43.00
Anguilla,Anguilla,17.00,22.00,30.00,4.00,8.00,3.00,11.00,5.00,8.00,4.00,21.00,21.00,126.00,75.00,8.33,1.00,55.00%,23.00
Ankara,Turkey,21.75,54.00,12.00,21.00,5.00,6.00,10.00,6.00,2.00,10.00,9.00,9.00,32.00,8.00,59.80,90.00,54.00%,24.00
Antigua,Antigua and Barbuda,16.13,17.00,30.00,4.00,7.00,4.00,11.00,5.00,9.00,3.00,17.00,17.00,113.00,69.00,8.33,1.00,52.00%,26.00
Athens,Greece,22.75,68.00,18.00,15.00,5.00,6.00,10.00,6.00,3.00,9.00,9.00,9.00,64.00,32.00,54.33,85.00,58.00%,20.00
Auckland,New Zealand,16.88,21.00,20.00,13.00,6.00,5.00,14.00,2.00,9.00,3.00,14.00,14.00,86.00,49.00,22.63,28.00,57.00%,21.00
Austin,USA,17.50,25.00,22.00,12.00,6.00,5.00,11.00,5.00,5.00,7.00,7.00,7.00,57.00,26.00,37.40,64.00,64.00%,14.00
Bali,Indonesia,33.75,132.00,31.00,3.00,9.00,2.00,13.00,3.00,11.00,1.00,8.00,8.00,187.00,94.00,67.50,107.00,24.00%,52.00
Bangkok,Thailand,24.00,82.00,32.00,2.00,8.00,3.00,11.00,5.00,10.00,2.00,6.00,6.00,49.00,18.00,74.27,114.00,35.00%,42.00
Barcelona,Spain,23.88,77.00,17.00,16.00,5.00,6.00,10.00,6.00,2.00,10.00,11.00,11.00,58.00,27.00,61.15,93.00,56.00%,22.00
Beijing,China,21.13,48.00,10.00,23.00,6.00,5.00,10.00,6.00,2.00,10.00,4.00,4.00,7.00,3.00,73.03,112.00,74.00%,6.00
Berlin,Germany,24.25,85.00,7.00,26.00,2.00,9.00,9.00,7.00,1.00,11.00,14.00,14.00,49.00,18.00,35.90,61.00,29.00%,48.00
Bern,Switzerland,20.88,43.00,7.00,26.00,3.00,8.00,9.00,7.00,1.00,11.00,14.00,14.00,85.00,48.00,19.23,17.00,41.00%,36.00
Biarritz,France,23.38,75.00,15.00,18.00,4.00,7.00,10.00,6.00,2.00,10.00,16.00,16.00,162.00,87.00,15.00,8.00,42.00%,35.00
Bilbao,Spain,27.50,105.00,15.00,18.00,3.00,8.00,10.00,6.00,2.00,10.00,17.00,17.00,142.00,81.00,26.85,42.00,39.00%,38.00
Bora Bora,French Polynesia,26.75,100.00,30.00,4.00,7.00,4.00,13.00,3.00,11.00,1.00,6.00,6.00,228.00,99.00,33.33,52.00,32.00%,45.00
Boracay,Philippines,28.88,112.00,30.00,4.00,6.00,5.00,11.00,5.00,10.00,2.00,14.00,14.00,285.00,102.00,29.17,44.00,17.00%,55.00
Boston,USA,24.00,80.00,11.00,22.00,5.00,6.00,10.00,6.00,2.00,10.00,11.00,11.00,111.00,68.00,26.03,39.00,48.00%,30.00
Bratislava ,Slovakia,23.88,79.00,7.00,26.00,2.00,9.00,9.00,7.00,1.00,11.00,14.00,14.00,57.00,26.00,35.16,59.00,38.00%,39.00
Brisbane,Australia,16.38,18.00,28.00,6.00,9.00,2.00,13.00,3.00,11.00,1.00,11.00,11.00,100.00,60.00,26.22,40.00,70.00%,8.00
Bruges,Belgium,21.25,51.00,10.00,23.00,2.00,9.00,9.00,7.00,1.00,11.00,20.00,20.00,81.00,45.00,17.50,14.00,36.00%,41.00
Brussels,Belgium,32.13,127.00,9.00,24.00,2.00,9.00,9.00,7.00,1.00,11.00,19.00,19.00,79.00,44.00,63.00,97.00,31.00%,46.00
Budapest,Hungary,26.88,101.00,8.00,25.00,2.00,9.00,9.00,7.00,1.00,11.00,12.00,12.00,55.00,24.00,58.00,89.00,39.00%,38.00
Buenos Aires,Argentina,20.88,42.00,25.00,9.00,8.00,3.00,14.00,2.00,10.00,2.00,9.00,9.00,101.00,61.00,45.08,70.00,67.00%,11.00
Busan,South Korea,20.00,36.00,16.00,17.00,6.00,5.00,10.00,6.00,3.00,9.00,6.00,6.00,61.00,30.00,51.14,80.00,71.00%,7.00
Byron Bay,Australia,15.63,13.00,26.00,8.00,8.00,3.00,14.00,2.00,11.00,1.00,11.00,11.00,127.00,76.00,16.67,13.00,67.00%,11.00
Cairns,Australia,15.75,15.00,30.00,4.00,8.00,3.00,13.00,3.00,11.00,1.00,5.00,5.00,101.00,61.00,20.27,19.00,48.00%,30.00
Cairo ,Egypt,19.25,32.00,25.00,9.00,8.00,3.00,11.00,5.00,5.00,7.00,1.00,2.00,3.00,2.00,83.14,122.00,76.00%,4.00
Cancun,Mexico,15.75,14.00,29.00,5.00,6.00,5.00,11.00,5.00,8.00,4.00,8.00,8.00,91.00,54.00,22.41,25.00,58.00%,20.00
Cape Town,South Africa,11.25,2.00,22.00,12.00,10.00,1.00,14.00,2.00,11.00,1.00,6.00,6.00,40.00,13.00,30.84,47.00,70.00%,8.00
Cartagena,Colombia,26.13,95.00,31.00,3.00,6.00,5.00,12.00,4.00,11.00,1.00,12.00,12.00,129.00,77.00,33.33,52.00,17.00%,55.00
Chamonix,France,35.00,138.00,-2.00,31.00,4.00,7.00,9.00,7.00,2.00,10.00,15.00,15.00,142.00,81.00,61.96,94.00,42.00%,35.00
Chiang Mai,Thailand,22.25,63.00,29.00,5.00,8.00,3.00,11.00,5.00,9.00,3.00,6.00,6.00,41.00,14.00,81.25,120.00,56.00%,22.00
Chicago ,USA,24.13,83.00,9.00,24.00,4.00,7.00,10.00,6.00,2.00,10.00,11.00,11.00,72.00,38.00,44.81,68.00,49.00%,29.00
Colombo,Sri Lanka,33.75,133.00,30.00,4.00,7.00,4.00,12.00,4.00,11.00,1.00,15.00,15.00,306.00,103.00,54.44,86.00,23.00%,53.00
Copenhagen,Denmark,20.13,38.00,8.00,25.00,2.00,9.00,8.00,8.00,1.00,11.00,17.00,17.00,63.00,31.00,18.80,16.00,33.00%,44.00
Crete,Greece,14.50,7.00,19.00,14.00,5.00,6.00,10.00,6.00,3.00,9.00,8.00,8.00,83.00,46.00,15.79,12.00,63.00%,15.00
Darwin,Australia,19.38,34.00,33.00,1.00,9.00,2.00,13.00,3.00,11.00,1.00,6.00,6.00,135.00,80.00,15.57,11.00,26.00%,51.00
Doha,Qatar,14.88,9.00,29.00,5.00,9.00,2.00,11.00,5.00,6.00,6.00,0.00,1.00,3.00,2.00,62.50,95.00,79.00%,3.00
Dubai,United Emirates,12.25,4.00,31.00,3.00,9.00,2.00,11.00,5.00,6.00,6.00,0.00,1.00,2.00,1.00,50.64,79.00,82.00%,1.00
Dublin,Ireland,24.00,81.00,10.00,23.00,2.00,9.00,9.00,7.00,1.00,11.00,16.00,16.00,65.00,33.00,33.61,53.00,37.00%,40.00
Dubrovnik,Croatia,22.13,62.00,13.00,20.00,4.00,7.00,10.00,6.00,2.00,10.00,13.00,13.00,175.00,90.00,11.36,4.00,51.00%,27.00
Edinburgh,United Kingdom,21.88,56.00,8.00,25.00,2.00,9.00,8.00,8.00,1.00,11.00,18.00,18.00,69.00,36.00,22.56,27.00,36.00%,41.00
Geneva ,Switzerland,24.38,86.00,8.00,25.00,2.00,9.00,9.00,7.00,1.00,11.00,13.00,13.00,93.00,55.00,26.52,41.00,43.00%,34.00
Gold Coast,Australia,14.63,8.00,27.00,7.00,8.00,3.00,14.00,2.00,11.00,1.00,11.00,11.00,116.00,71.00,16.67,13.00,69.00%,9.00
Gothenburg,Sweden,21.88,58.00,6.00,27.00,2.00,9.00,8.00,8.00,0.00,12.00,16.00,16.00,83.00,46.00,16.67,13.00,33.00%,44.00
Guadalajara,Mexico,17.00,23.00,26.00,8.00,8.00,3.00,11.00,5.00,8.00,4.00,2.00,3.00,16.00,6.00,54.11,84.00,55.00%,23.00
Hamburg,Germany,23.63,76.00,8.00,25.00,2.00,9.00,9.00,7.00,1.00,11.00,17.00,17.00,67.00,35.00,25.66,36.00,28.00%,49.00
Hanoi,Vietnam,24.63,87.00,25.00,9.00,5.00,6.00,11.00,5.00,8.00,4.00,8.00,8.00,57.00,26.00,84.93,123.00,62.00%,16.00
Havana,Cuba,20.50,40.00,28.00,6.00,7.00,4.00,11.00,5.00,7.00,5.00,9.00,9.00,75.00,41.00,50.00,78.00,62.00%,16.00
Helsinki,Finland,20.88,45.00,3.00,29.00,1.00,10.00,7.00,9.00,0.00,12.00,21.00,21.00,70.00,37.00,9.73,2.00,30.00%,47.00
Hong Kong,China,19.88,35.00,24.00,10.00,6.00,5.00,11.00,5.00,7.00,5.00,6.00,6.00,35.00,10.00,66.98,105.00,65.00%,13.00
Honolulu,USA,13.88,6.00,28.00,6.00,7.00,4.00,11.00,5.00,7.00,5.00,11.00,11.00,61.00,30.00,25.00,35.00,63.00%,15.00
Hvar,Croatia,21.25,50.00,15.00,18.00,4.00,7.00,10.00,6.00,2.00,10.00,13.00,13.00,113.00,69.00,20.37,20.00,51.00%,27.00
Ibiza ,Spain,17.75,27.00,19.00,14.00,6.00,5.00,10.00,6.00,3.00,9.00,11.00,11.00,53.00,22.00,34.09,55.00,58.00%,20.00
Jakarta,Indonesia,36.25,139.00,32.00,2.00,7.00,4.00,12.00,4.00,11.00,1.00,17.00,17.00,174.00,89.00,78.62,117.00,13.00%,56.00
Kingston,Jamaica,30.88,125.00,30.00,4.00,6.00,5.00,11.00,5.00,9.00,3.00,11.00,11.00,167.00,88.00,64.77,102.00,49.00%,29.00
Krakow,Poland,30.88,126.00,7.00,26.00,2.00,9.00,9.00,7.00,1.00,11.00,15.00,15.00,43.00,15.00,85.19,124.00,37.00%,40.00
Kyoto,Japan,20.88,41.00,14.00,19.00,4.00,7.00,10.00,6.00,3.00,9.00,17.00,17.00,78.00,43.00,34.38,56.00,68.00%,10.00
Lagos,Portugal,11.75,3.00,31.00,3.00,6.00,5.00,12.00,4.00,11.00,1.00,5.00,5.00,55.00,24.00,23.53,31.00,57.00%,21.00
Lake Como,Italy,25.88,93.00,10.00,23.00,3.00,8.00,10.00,6.00,2.00,10.00,11.00,11.00,93.00,55.00,45.45,71.00,55.00%,23.00
Las Vegas ,USA,14.88,10.00,20.00,13.00,8.00,3.00,10.00,6.00,3.00,9.00,2.00,3.00,11.00,4.00,47.36,74.00,71.00%,7.00
Lisbon,Portugal,25.50,91.00,18.00,15.00,5.00,6.00,10.00,6.00,3.00,9.00,13.00,13.00,111.00,68.00,36.00,62.00,53.00%,25.00
Ljubljana,Slovenia,28.13,108.00,8.00,25.00,2.00,9.00,9.00,7.00,1.00,11.00,13.00,13.00,133.00,78.00,28.50,43.00,38.00%,39.00
London,United Kingdom,29.50,117.00,10.00,23.00,2.00,9.00,9.00,7.00,1.00,11.00,15.00,15.00,59.00,28.00,63.02,98.00,32.00%,45.00
Los Angeles,USA,21.25,49.00,22.00,12.00,7.00,4.00,10.00,6.00,4.00,8.00,4.00,4.00,51.00,20.00,64.35,100.00,62.00%,16.00
Madrid,Spain,22.00,59.00,14.00,19.00,5.00,6.00,10.00,6.00,2.00,10.00,12.00,12.00,55.00,24.00,46.16,72.00,51.00%,27.00
Malaga ,Spain,20.00,37.00,18.00,15.00,6.00,5.00,10.00,6.00,3.00,9.00,12.00,12.00,97.00,57.00,25.74,37.00,59.00%,19.00
Malé,Maldives,33.50,131.00,30.00,4.00,6.00,5.00,12.00,4.00,11.00,1.00,14.00,14.00,192.00,95.00,62.93,96.00,28.00%,49.00
Manila,Philippines,36.50,140.00,31.00,3.00,6.00,5.00,11.00,5.00,10.00,2.00,13.00,13.00,182.00,93.00,82.45,121.00,27.00%,50.00
Marrakech,Morocco,22.50,65.00,22.00,12.00,7.00,4.00,11.00,5.00,4.00,8.00,6.00,6.00,38.00,11.00,80.16,119.00,63.00%,15.00
Melbourne,Australia,12.75,5.00,22.00,12.00,7.00,4.00,14.00,2.00,9.00,3.00,10.00,10.00,55.00,24.00,22.78,29.00,60.00%,18.00
Mexico City,Mexico,22.50,67.00,23.00,11.00,6.00,5.00,11.00,5.00,10.00,2.00,4.00,4.00,15.00,5.00,81.25,120.00,50.00%,28.00
Miami,United States,16.75,20.00,27.00,7.00,7.00,4.00,11.00,5.00,6.00,6.00,9.00,9.00,78.00,43.00,29.27,45.00,63.00%,15.00
Milan,Italy,34.13,136.00,10.00,23.00,2.00,9.00,10.00,6.00,2.00,10.00,14.00,14.00,107.00,66.00,77.20,116.00,49.00%,29.00
Monaco,Monaco,29.50,116.00,13.00,20.00,5.00,6.00,10.00,6.00,2.00,10.00,10.00,10.00,99.00,59.00,64.39,101.00,54.00%,24.00
Montego Bay,Jamaica,25.50,92.00,30.00,4.00,7.00,4.00,11.00,5.00,9.00,3.00,11.00,11.00,110.00,67.00,51.67,81.00,49.00%,29.00
Montreal,Canada,25.88,94.00,5.00,28.00,3.00,8.00,9.00,7.00,1.00,11.00,14.00,14.00,98.00,58.00,30.43,46.00,42.00%,35.00
Munich,Germany,20.88,44.00,7.00,26.00,2.00,9.00,9.00,7.00,1.00,11.00,15.00,15.00,56.00,25.00,24.38,33.00,36.00%,41.00
Mykonos,Greece,22.50,66.00,17.00,16.00,6.00,5.00,10.00,6.00,3.00,9.00,8.00,8.00,66.00,34.00,54.33,85.00,61.00%,17.00
Nadi,Fiji,30.50,123.00,29.00,5.00,6.00,5.00,13.00,3.00,11.00,1.00,17.00,17.00,181.00,92.00,50.00,78.00,34.00%,43.00
Nairobi,Kenya,34.13,137.00,23.00,11.00,7.00,4.00,12.00,4.00,11.00,1.00,20.00,20.00,151.00,85.00,68.99,109.00,38.00%,39.00
Naples,Italy,34.13,135.00,17.00,16.00,4.00,7.00,10.00,6.00,2.00,10.00,15.00,15.00,147.00,83.00,71.64,111.00,53.00%,25.00
Nassau,Bahamas,19.13,31.00,28.00,6.00,7.00,4.00,11.00,5.00,6.00,6.00,14.00,14.00,60.00,29.00,47.12,73.00,62.00%,16.00
New Orleans,USA,22.13,61.00,22.00,12.00,6.00,5.00,11.00,5.00,5.00,7.00,8.00,8.00,106.00,65.00,35.33,60.00,63.00%,15.00
New York,USA,29.00,113.00,12.00,21.00,5.00,6.00,10.00,6.00,2.00,10.00,10.00,10.00,104.00,64.00,53.22,83.00,46.00%,32.00
Nice,France,26.63,96.00,14.00,19.00,5.00,6.00,10.00,6.00,2.00,10.00,9.00,9.00,101.00,61.00,50.00,78.00,54.00%,24.00
Oslo,Norway,27.13,102.00,3.00,29.00,0.00,11.00,4.00,10.00,0.00,12.00,23.00,22.00,95.00,56.00,22.83,30.00,30.00%,47.00
Palma de Mallorca,Spain,18.63,30.00,18.00,15.00,5.00,6.00,10.00,6.00,2.00,10.00,13.00,13.00,84.00,47.00,23.81,32.00,58.00%,20.00
Panama City,Panama,29.50,115.00,28.00,6.00,5.00,6.00,11.00,5.00,11.00,1.00,24.00,23.00,311.00,104.00,48.97,76.00,63.00%,15.00
Paris,France,30.00,120.00,10.00,23.00,3.00,8.00,9.00,7.00,1.00,11.00,15.00,15.00,59.00,28.00,65.77,103.00,32.00%,45.00
Perth,Australia,6.13,1.00,25.00,9.00,10.00,1.00,14.00,2.00,10.00,2.00,4.00,4.00,25.00,7.00,21.43,22.00,80.00%,2.00
Petra,Jordan,18.13,28.00,20.00,13.00,8.00,3.00,11.00,5.00,5.00,7.00,2.00,3.00,7.00,3.00,67.22,106.00,75.00%,5.00
Phuket,Thailand,28.00,107.00,31.00,3.00,7.00,4.00,12.00,4.00,11.00,1.00,16.00,16.00,187.00,94.00,31.03,48.00,18.00%,54.00
Porto,Portugal,23.88,78.00,17.00,16.00,5.00,6.00,10.00,6.00,2.00,10.00,15.00,15.00,146.00,82.00,22.31,24.00,46.00%,32.00
Prague,Czech Republic,21.88,57.00,7.00,26.00,2.00,9.00,9.00,7.00,1.00,11.00,13.00,13.00,34.00,9.00,35.00,58.00,35.00%,42.00
Punta Cana,Dominican Republic,27.50,104.00,30.00,4.00,8.00,3.00,11.00,5.00,8.00,4.00,16.00,16.00,119.00,73.00,60.00,91.00,54.00%,24.00
