CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Amalfi Coast,Italy,30.00,125.00,22.00,14.00,6.00,5.00,11.00,3.00,4.00,8.00,12.00,13.00,118.00,65.00,71.64,111.00,58.00%,21.00
Amsterdam, Netherlands,20.00,58.00,14.00,22.00,3.00,8.00,11.00,3.00,2.00,10.00,17.00,18.00,82.00,41.00,21.31,21.00,42.00%,37.00
Anguilla,Anguilla,16.75,24.00,31.00,5.00,8.00,3.00,12.00,2.00,10.00,2.00,20.00,21.00,109.00,58.00,8.33,1.00,37.00%,42.00
Ankara,Turkey,19.13,46.00,18.00,18.00,7.00,4.00,11.00,3.00,4.00,8.00,7.00,8.00,26.00,8.00,59.80,90.00,65.00%,14.00
Antigua,Antigua and Barbuda,18.38,38.00,30.00,6.00,7.00,4.00,12.00,2.00,10.00,2.00,17.00,18.00,134.00,72.00,8.33,1.00,37.00%,42.00
Athens,Greece,19.50,51.00,22.00,14.00,7.00,4.00,11.00,3.00,5.00,7.00,6.00,7.00,55.00,22.00,54.33,85.00,65.00%,14.00
Auckland,New Zealand,18.38,37.00,18.00,18.00,6.00,5.00,13.00,1.00,7.00,5.00,15.00,16.00,86.00,44.00,22.63,28.00,49.00%,30.00
Austin,USA,18.50,39.00,28.00,8.00,7.00,4.00,11.00,3.00,7.00,5.00,7.00,8.00,87.00,45.00,37.40,64.00,70.00%,11.00
Bali,Indonesia,32.38,133.00,31.00,5.00,10.00,1.00,12.00,2.00,11.00,1.00,3.00,4.00,173.00,82.00,67.50,107.00,13.00%,57.00
Bangkok,Thailand,35.38,139.00,32.00,4.00,6.00,5.00,12.00,2.00,11.00,1.00,16.00,17.00,199.00,86.00,74.27,114.00,19.00%,54.00
Barcelona,Spain,25.50,97.00,21.00,15.00,6.00,5.00,11.00,3.00,4.00,8.00,11.00,12.00,86.00,44.00,61.15,93.00,55.00%,24.00
Beijing,China,20.75,64.00,19.00,17.00,7.00,4.00,11.00,3.00,4.00,8.00,5.00,6.00,18.00,6.00,73.03,112.00,72.00%,10.00
Berlin,Germany,20.75,65.00,13.00,23.00,4.00,7.00,11.00,3.00,2.00,10.00,12.00,13.00,36.00,11.00,35.90,61.00,41.00%,38.00
Bern,Switzerland,16.38,21.00,13.00,23.00,4.00,7.00,11.00,3.00,3.00,9.00,13.00,14.00,57.00,23.00,19.23,17.00,44.00%,35.00
Biarritz,France,19.38,50.00,20.00,16.00,5.00,6.00,11.00,3.00,4.00,8.00,14.00,15.00,128.00,69.00,15.00,8.00,49.00%,30.00
Bilbao,Spain,22.50,78.00,20.00,16.00,4.00,7.00,11.00,3.00,4.00,8.00,14.00,15.00,107.00,57.00,26.85,42.00,47.00%,32.00
Bora Bora,French Polynesia,20.25,61.00,29.00,7.00,7.00,4.00,12.00,2.00,11.00,1.00,5.00,6.00,112.00,61.00,33.33,52.00,50.00%,29.00
Boracay,Philippines,28.50,118.00,31.00,5.00,6.00,5.00,12.00,2.00,11.00,1.00,18.00,19.00,356.00,97.00,29.17,44.00,18.00%,55.00
Boston,USA,19.38,49.00,17.00,19.00,7.00,4.00,11.00,3.00,4.00,8.00,9.00,10.00,87.00,45.00,26.03,39.00,52.00%,27.00
Bratislava ,Slovakia,19.25,48.00,15.00,21.00,5.00,6.00,11.00,3.00,3.00,9.00,10.00,11.00,43.00,15.00,35.16,59.00,49.00%,30.00
Brisbane,Australia,15.13,18.00,26.00,10.00,9.00,2.00,13.00,1.00,10.00,2.00,10.00,11.00,93.00,49.00,26.22,40.00,78.00%,6.00
Bruges,Belgium,18.50,41.00,15.00,21.00,4.00,7.00,11.00,3.00,2.00,10.00,17.00,18.00,81.00,40.00,17.50,14.00,44.00%,35.00
Brussels,Belgium,28.75,119.00,15.00,21.00,4.00,7.00,11.00,3.00,2.00,10.00,19.00,20.00,72.00,34.00,63.00,97.00,41.00%,38.00
Budapest,Hungary,22.38,75.00,16.00,20.00,5.00,6.00,11.00,3.00,3.00,9.00,8.00,9.00,39.00,14.00,58.00,89.00,50.00%,29.00
Buenos Aires,Argentina,22.50,77.00,22.00,14.00,7.00,4.00,13.00,1.00,8.00,4.00,10.00,11.00,111.00,60.00,45.08,70.00,63.00%,16.00
Busan,South Korea,20.25,60.00,22.00,14.00,6.00,5.00,11.00,3.00,5.00,7.00,6.00,7.00,72.00,34.00,51.14,80.00,69.00%,12.00
Byron Bay,Australia,15.00,16.00,24.00,12.00,8.00,3.00,13.00,1.00,9.00,3.00,11.00,12.00,125.00,68.00,16.67,13.00,75.00%,8.00
Cairns,Australia,9.00,1.00,29.00,7.00,9.00,2.00,12.00,2.00,11.00,1.00,4.00,5.00,45.00,17.00,20.27,19.00,60.00%,19.00
Cairo ,Egypt,18.13,34.00,30.00,6.00,9.00,2.00,11.00,3.00,7.00,5.00,1.00,2.00,1.00,2.00,83.14,122.00,87.00%,3.00
Cancun,Mexico,22.25,74.00,30.00,6.00,7.00,4.00,12.00,2.00,9.00,3.00,13.00,14.00,193.00,84.00,22.41,25.00,39.00%,40.00
Cape Town,South Africa,15.00,17.00,20.00,16.00,9.00,2.00,13.00,1.00,8.00,4.00,9.00,10.00,61.00,27.00,30.84,47.00,66.00%,13.00
Cartagena,Colombia,29.00,121.00,31.00,5.00,5.00,6.00,12.00,2.00,11.00,1.00,16.00,17.00,218.00,90.00,33.33,52.00,8.00%,59.00
Chamonix,France,31.75,130.00,4.00,27.00,5.00,6.00,11.00,3.00,3.00,9.00,13.00,14.00,121.00,66.00,61.96,94.00,44.00%,35.00
Chiang Mai,Thailand,32.50,134.00,30.00,6.00,7.00,4.00,12.00,2.00,11.00,1.00,12.00,13.00,125.00,68.00,81.25,120.00,33.00%,46.00
Chicago ,USA,20.50,63.00,17.00,19.00,6.00,5.00,11.00,3.00,4.00,8.00,9.00,10.00,68.00,31.00,44.81,68.00,59.00%,20.00
Colombo,Sri Lanka,33.50,137.00,30.00,6.00,6.00,5.00,12.00,2.00,11.00,1.00,16.00,17.00,371.00,98.00,54.44,86.00,20.00%,53.00
Copenhagen,Denmark,17.25,27.00,13.00,23.00,3.00,8.00,10.00,4.00,1.00,11.00,15.00,16.00,57.00,23.00,18.80,16.00,42.00%,37.00
Crete,Greece,13.25,9.00,22.00,14.00,6.00,5.00,11.00,3.00,5.00,7.00,5.00,6.00,95.00,50.00,15.79,12.00,73.00%,9.00
Darwin,Australia,11.63,5.00,33.00,3.00,10.00,1.00,12.00,2.00,11.00,1.00,3.00,4.00,74.00,36.00,15.57,11.00,44.00%,35.00
Doha,Qatar,13.63,11.00,35.00,2.00,10.00,1.00,12.00,2.00,8.00,4.00,0.00,1.00,1.00,2.00,62.50,95.00,88.00%,2.00
Dubai,United Emirates,11.25,3.00,36.00,1.00,10.00,1.00,12.00,2.00,8.00,4.00,0.00,1.00,0.00,1.00,50.64,79.00,90.00%,1.00
Dublin,Ireland,21.88,71.00,14.00,22.00,3.00,8.00,11.00,3.00,2.00,10.00,16.00,17.00,67.00,30.00,33.61,53.00,47.00%,32.00
Dubrovnik,Croatia,17.50,29.00,19.00,17.00,6.00,5.00,11.00,3.00,4.00,8.00,10.00,11.00,129.00,70.00,11.36,4.00,57.00%,22.00
Edinburgh,United Kingdom,20.88,67.00,13.00,23.00,3.00,8.00,10.00,4.00,1.00,11.00,18.00,19.00,73.00,35.00,22.56,27.00,39.00%,40.00
Geneva ,Switzerland,20.88,66.00,14.00,22.00,4.00,7.00,11.00,3.00,3.00,9.00,12.00,13.00,79.00,38.00,26.52,41.00,45.00%,34.00
Gold Coast,Australia,13.38,10.00,25.00,11.00,8.00,3.00,13.00,1.00,10.00,2.00,10.00,11.00,110.00,59.00,16.67,13.00,77.00%,7.00
Gothenburg,Sweden,19.63,55.00,11.00,24.00,3.00,8.00,10.00,4.00,1.00,11.00,15.00,16.00,85.00,43.00,16.67,13.00,41.00%,38.00
Guadalajara,Mexico,23.00,84.00,27.00,9.00,7.00,4.00,12.00,2.00,11.00,1.00,10.00,11.00,60.00,26.00,54.11,84.00,32.00%,47.00
Hamburg,Germany,20.00,59.00,13.00,23.00,3.00,8.00,11.00,3.00,2.00,10.00,14.00,15.00,59.00,25.00,25.66,36.00,39.00%,40.00
Hanoi,Vietnam,31.50,129.00,29.00,7.00,5.00,6.00,12.00,2.00,10.00,2.00,11.00,12.00,125.00,68.00,84.93,123.00,47.00%,32.00
Havana,Cuba,27.25,105.00,30.00,6.00,9.00,2.00,12.00,2.00,9.00,3.00,13.00,14.00,164.00,79.00,50.00,78.00,45.00%,34.00
Helsinki,Finland,18.00,33.00,9.00,26.00,3.00,8.00,10.00,4.00,1.00,11.00,17.00,18.00,72.00,34.00,9.73,2.00,38.00%,41.00
Hong Kong,China,28.50,116.00,28.00,8.00,6.00,5.00,12.00,2.00,9.00,3.00,8.00,9.00,130.00,71.00,66.98,105.00,54.00%,25.00
Honolulu,USA,11.75,6.00,29.00,7.00,8.00,3.00,12.00,2.00,9.00,3.00,9.00,10.00,47.00,18.00,25.00,35.00,63.00%,16.00
Hvar,Croatia,16.75,23.00,20.00,16.00,6.00,5.00,11.00,3.00,3.00,9.00,11.00,12.00,91.00,48.00,20.37,20.00,58.00%,21.00
Ibiza ,Spain,18.75,44.00,23.00,13.00,7.00,4.00,11.00,3.00,4.00,8.00,11.00,12.00,70.00,32.00,34.09,55.00,56.00%,23.00
Jakarta,Indonesia,33.38,136.00,33.00,3.00,8.00,3.00,12.00,2.00,11.00,1.00,12.00,13.00,146.00,75.00,78.62,117.00,20.00%,53.00
Kingston,Jamaica,34.50,138.00,31.00,5.00,6.00,5.00,12.00,2.00,10.00,2.00,16.00,17.00,280.00,94.00,64.77,102.00,29.00%,49.00
Krakow,Poland,28.50,117.00,14.00,22.00,4.00,7.00,11.00,3.00,2.00,10.00,12.00,13.00,44.00,16.00,85.19,124.00,46.00%,33.00
Kyoto,Japan,22.63,81.00,20.00,16.00,5.00,6.00,11.00,3.00,6.00,6.00,16.00,17.00,111.00,60.00,34.38,56.00,62.00%,17.00
Lagos,Portugal,19.50,52.00,30.00,6.00,5.00,6.00,12.00,2.00,11.00,1.00,12.00,13.00,151.00,76.00,23.53,31.00,58.00%,21.00
Lake Como,Italy,22.88,83.00,17.00,19.00,5.00,6.00,11.00,3.00,3.00,9.00,8.00,9.00,84.00,42.00,45.45,71.00,55.00%,24.00
Las Vegas ,USA,13.13,8.00,28.00,8.00,10.00,1.00,11.00,3.00,5.00,7.00,2.00,3.00,5.00,4.00,47.36,74.00,79.00%,5.00
Lisbon,Portugal,20.38,62.00,23.00,13.00,6.00,5.00,11.00,3.00,4.00,8.00,10.00,11.00,80.00,39.00,36.00,62.00,57.00%,22.00
Ljubljana,Slovenia,23.75,86.00,16.00,20.00,4.00,7.00,11.00,3.00,3.00,9.00,12.00,13.00,113.00,62.00,28.50,43.00,46.00%,33.00
London,United Kingdom,26.88,100.00,15.00,21.00,3.00,8.00,11.00,3.00,2.00,10.00,13.00,14.00,58.00,24.00,63.02,98.00,42.00%,37.00
Los Angeles,USA,17.63,30.00,26.00,10.00,8.00,3.00,11.00,3.00,6.00,6.00,2.00,3.00,9.00,5.00,64.35,100.00,70.00%,11.00
Madrid,Spain,20.00,57.00,20.00,16.00,6.00,5.00,11.00,3.00,4.00,8.00,11.00,12.00,48.00,19.00,46.16,72.00,54.00%,25.00
Malaga ,Spain,14.88,15.00,22.00,14.00,7.00,4.00,11.00,3.00,5.00,7.00,9.00,10.00,58.00,24.00,25.74,37.00,59.00%,20.00
Malé,Maldives,33.38,135.00,30.00,6.00,8.00,3.00,12.00,2.00,11.00,1.00,16.00,17.00,229.00,91.00,62.93,96.00,26.00%,51.00
Manila,Philippines,37.75,140.00,31.00,5.00,6.00,5.00,12.00,2.00,11.00,1.00,18.00,19.00,272.00,93.00,82.45,121.00,16.00%,56.00
Marrakech,Morocco,21.25,69.00,27.00,9.00,8.00,3.00,11.00,3.00,6.00,6.00,5.00,6.00,22.00,7.00,80.16,119.00,62.00%,17.00
Melbourne,Australia,14.38,13.00,19.00,17.00,6.00,5.00,13.00,1.00,7.00,5.00,12.00,13.00,62.00,28.00,22.78,29.00,62.00%,17.00
Mexico City,Mexico,27.13,104.00,23.00,13.00,5.00,6.00,12.00,2.00,11.00,1.00,8.00,9.00,44.00,16.00,81.25,120.00,27.00%,50.00
Miami,United States,22.25,73.00,29.00,7.00,8.00,3.00,12.00,2.00,8.00,4.00,14.00,15.00,144.00,74.00,29.27,45.00,51.00%,28.00
Milan,Italy,32.13,131.00,18.00,18.00,4.00,7.00,11.00,3.00,3.00,9.00,12.00,13.00,117.00,64.00,77.20,116.00,52.00%,27.00
Monaco,Monaco,28.13,114.00,18.00,18.00,6.00,5.00,11.00,3.00,3.00,9.00,9.00,10.00,102.00,54.00,64.39,101.00,54.00%,25.00
Montego Bay,Jamaica,30.13,127.00,31.00,5.00,6.00,5.00,12.00,2.00,10.00,2.00,16.00,17.00,166.00,80.00,51.67,81.00,29.00%,49.00
Montreal,Canada,21.38,70.00,13.00,23.00,4.00,7.00,11.00,3.00,3.00,9.00,13.00,14.00,82.00,41.00,30.43,46.00,51.00%,28.00
Munich,Germany,18.13,35.00,14.00,22.00,4.00,7.00,11.00,3.00,3.00,9.00,12.00,13.00,52.00,21.00,24.38,33.00,42.00%,37.00
Mykonos,Greece,18.63,42.00,20.00,16.00,7.00,4.00,11.00,3.00,5.00,7.00,4.00,5.00,47.00,18.00,54.33,85.00,70.00%,11.00
Nadi,Fiji,28.00,112.00,27.00,9.00,5.00,6.00,13.00,1.00,11.00,1.00,17.00,18.00,152.00,77.00,50.00,78.00,45.00%,34.00
Nairobi,Kenya,25.88,99.00,25.00,11.00,7.00,4.00,12.00,2.00,11.00,1.00,9.00,10.00,67.00,30.00,68.99,109.00,39.00%,40.00
Naples,Italy,30.00,126.00,22.00,14.00,6.00,5.00,11.00,3.00,4.00,8.00,12.00,13.00,118.00,65.00,71.64,111.00,58.00%,21.00
Nassau,Bahamas,28.25,115.00,30.00,6.00,7.00,4.00,12.00,2.00,8.00,4.00,22.00,22.00,182.00,83.00,47.12,73.00,47.00%,32.00
New Orleans,USA,16.88,25.00,27.00,9.00,8.00,3.00,11.00,3.00,7.00,5.00,5.00,6.00,73.00,35.00,35.33,60.00,65.00%,14.00
New York,USA,23.88,87.00,18.00,18.00,7.00,4.00,11.00,3.00,4.00,8.00,7.00,8.00,84.00,42.00,53.22,83.00,54.00%,25.00
