CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Amalfi Coast,Italy,25.00,98.00,26.00,11.00,8.00,4.00,12.00,2.00,6.00,6.00,9.00,10.00,74.00,39.00,71.64,111.00,69.00%,17.00
Amsterdam, Netherlands,18.75,52.00,18.00,19.00,4.00,8.00,13.00,1.00,4.00,8.00,16.00,17.00,75.00,40.00,21.31,21.00,49.00%,36.00
Anguilla,Anguilla,17.50,45.00,31.00,6.00,8.00,4.00,12.00,2.00,11.00,1.00,19.00,20.00,129.00,61.00,8.33,1.00,35.00%,45.00
Ankara,Turkey,16.38,33.00,25.00,12.00,10.00,2.00,12.00,2.00,7.00,5.00,5.00,6.00,17.00,8.00,59.80,90.00,85.00%,6.00
Antigua,Antigua and Barbuda,17.50,44.00,31.00,6.00,7.00,5.00,12.00,2.00,11.00,1.00,17.00,18.00,140.00,63.00,8.33,1.00,36.00%,44.00
Athens,Greece,15.00,27.00,28.00,9.00,9.00,3.00,12.00,2.00,7.00,5.00,2.00,3.00,13.00,5.00,54.33,85.00,83.00%,8.00
Auckland,New Zealand,20.50,66.00,16.00,21.00,5.00,7.00,12.00,2.00,5.00,7.00,18.00,19.00,100.00,53.00,22.63,28.00,59.00%,27.00
Austin,USA,19.25,58.00,32.00,5.00,8.00,4.00,12.00,2.00,9.00,3.00,8.00,9.00,90.00,46.00,37.40,64.00,65.00%,21.00
Bali,Indonesia,29.75,128.00,30.00,7.00,10.00,2.00,12.00,2.00,11.00,1.00,1.00,2.00,116.00,58.00,67.50,107.00,11.00%,59.00
Bangkok,Thailand,36.88,139.00,32.00,5.00,5.00,7.00,12.00,2.00,11.00,1.00,20.00,21.00,292.00,85.00,74.27,114.00,10.00%,60.00
Barcelona,Spain,23.50,92.00,25.00,12.00,7.00,5.00,12.00,2.00,6.00,6.00,9.00,10.00,73.00,38.00,61.15,93.00,64.00%,22.00
Beijing,China,22.38,82.00,26.00,11.00,8.00,4.00,12.00,2.00,6.00,6.00,7.00,8.00,42.00,19.00,73.03,112.00,69.00%,17.00
Berlin,Germany,20.63,67.00,19.00,18.00,5.00,7.00,13.00,1.00,4.00,8.00,13.00,14.00,45.00,22.00,35.90,61.00,51.00%,34.00
Bern,Switzerland,17.38,43.00,18.00,19.00,6.00,6.00,13.00,1.00,5.00,7.00,13.00,14.00,80.00,42.00,19.23,17.00,52.00%,33.00
Biarritz,France,16.75,36.00,23.00,14.00,6.00,6.00,12.00,2.00,5.00,7.00,12.00,13.00,115.00,57.00,15.00,8.00,59.00%,27.00
Bilbao,Spain,18.50,50.00,24.00,13.00,5.00,7.00,12.00,2.00,5.00,7.00,12.00,13.00,71.00,36.00,26.85,42.00,58.00%,28.00
Bora Bora,French Polynesia,16.13,32.00,29.00,8.00,8.00,4.00,12.00,2.00,11.00,1.00,5.00,6.00,72.00,37.00,33.33,52.00,67.00%,19.00
Boracay,Philippines,28.00,120.00,30.00,7.00,6.00,6.00,12.00,2.00,11.00,1.00,18.00,19.00,349.00,87.00,29.17,44.00,12.00%,58.00
