CITY,COUNTRY,CODE,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK,LATITUDE,LONGITUDE,COLOR
Dubai,United Arab Emirates,ae,14.75,1.00,33.33,1.00,9.42,4.00,12.25,4.00,9.08,17.00,1.17,1.00,7.75,5.00,50.64,81.00,76.25%,5.00,25.2048,55.2708,#cc0100
Doha,Qatar,qa,17.88,2.00,32.33,4.00,9.50,3.00,12.25,4.00,9.00,18.00,1.25,2.00,6.17,2.00,62.50,99.00,74.25%,11.00,25.2854,51.531,#cc0100
Honolulu,USA,us,18.63,3.00,27.83,30.00,8.08,15.00,12.08,6.00,9.58,14.00,9.00,23.00,36.25,9.00,25.00,34.00,71.17%,18.00,21.3069,-157.8583,#cc0100
Las Vegas,USA,us,21.13,4.00,26.92,35.00,10.58,1.00,12.08,6.00,6.58,34.00,2.33,4.00,7.67,4.00,47.36,75.00,74.33%,10.00,36.1699,-115.1398,#cc0100
Crete,Greece,gr,21.88,5.00,20.75,54.00,7.75,19.00,12.08,6.00,6.42,35.00,5.50,8.00,62.83,39.00,15.79,10.00,77.42%,4.00,35.2401,24.8093,#cc0100
Los Angeles,USA,us,23.13,6.00,23.92,7.00,8.92,7.00,12.00,7.00,6.83,32.00,2.83,5.00,32.33,7.00,64.35,105.00,72.83%,15.00,34.0522,-118.2437,#cc0100
Perth,Australia,au,23.63,7.00,23.92,45.00,8.17,14.00,12.00,7.00,7.17,30.00,8.67,19.00,68.50,52.00,21.43,19.00,78.42%,3.00,-31.9505,115.8605,#cc0100
Petra,Jordan,jo,24.13,8.00,24.17,44.00,9.75,2.00,12.08,6.00,8.00,24.00,1.83,3.00,7.17,3.00,67.22,109.00,82.67%,2.00,30.3285,35.4444,#cc0100
Cairo,Egypt,eg,24.38,9.00,28.25,28.00,9.25,5.00,12.08,6.00,7.67,27.00,1.25,2.00,1.67,1.00,83.14,125.00,85.42%,1.00,30.0444,31.2357,#cc0100
Malaga,Spain,es,26.38,10.00,21.50,49.00,7.75,19.00,12.17,5.00,6.00,39.00,8.92,22.00,48.25,21.00,25.74,36.00,68.17%,20.00,36.7213,-4.4214,#cc0100
